id,title,isbn,page_count,publishing_date,form,publisher,language,author,illustrator,originally_published,genres,subject,awards,nominations,characters,description,sub_title
FBXRzgEACAAJ,Harry Potter and the Prisoner of Azkaban,"9780439655484, 043965548X",560,May 2004,Trade paperback,Arthur A. Levine Books,English,J. K. Rowling,Mary GrandPré,"July 8, 1999","Novel, Fantasy Fiction",,"Locus Award for Best Fantasy Novel, Nestlé Smarties Book Prize for 9 to 11 years","Carnegie Medal for Writing, Hugo Award for Best Novel, Locus Award for Best Fantasy Novel, Guardian Children's Fiction Prize, Mythopoeic Fantasy Award for Children's Literature","Harry Potter, Hermione Granger, Sirius Black, more","The third book in J.K. Rowling's bestselling series comes to the silver screen in a Warner Bros. feature opening June 4, 2004. Emma Thompson, Gary Oldman, and Michael Gambon join the cast for this installment, which is directed by Alfonso Cuaron (""Y Tu Mama Tambien"").",
yyxXzQEACAAJ,The Hitchhiker's Guide to the Galaxy,"9781563892714, 1563892715",133,1979,,Ballantine Books,English,Douglas Adams,Steve Leialoha,,"Comics, Graphic novel","Humorous stories, Science fiction comic books, strips, etc",,,,,The Authorized Collection
YjAnfhsAQ8wC,A Short History of Nearly Everything,"9780767908184, 076790818X",544,"September 14, 2004",Paperback,Crown,English,Bill Bryson,,"February 4, 2003","Popular science, Non-fiction","History / World, Science / Essays, Science / Natural History, Science, Science -- Popular works, Large type books, Popular works",,Baillie Gifford Prize,,"One of the world’s most beloved writers and New York Times bestselling author of A Walk in the Woods and The Body takes his ultimate journey—into the most intriguing and intractable questions that science seeks to answer.

In A Walk in the Woods, Bill Bryson trekked the Appalachian Trail—well, most of it. In A Sunburned Country, he confronted some of the most lethal wildlife Australia has to offer. Now, in his biggest book, he confronts his greatest challenge: to understand—and, if possible, answer—the oldest, biggest questions we have posed about the universe and ourselves. Taking as territory everything from the Big Bang to the rise of civilization, Bryson seeks to understand how we got from there being nothing at all to there being us. To that end, he has attached himsel...",
xb4wSmJLnhAC,I'm a Stranger Here Myself,"9780767903820, 076790382X",304,"June 6, 2000",Paperback,Crown,English,Bill Bryson,,"November 5, 1998","Humor, Travel literature, Autobiography, Memoir","Biography & Autobiography / Personal Memoirs, Humor / Form / Essays, Travel / Essays & Travelogues, Biography & Autobiography / Literary Figures, History / United States / 20th Century, United States -- Anecdotes -- Description and travel -- Social life and customs -- 1971-, United States -- Description and travel -- Anecdotes -- Social life and customs -- 1971-, United States -- Anecdotes -- Description and travel",,,,"A classic from the New York Times bestselling author of A Walk in the Woods and The Body.

After living in Britain for two decades, Bill Bryson recently moved back to the United States with his English wife and four children (he had read somewhere that nearly 3 million Americans believed they had been abducted by aliens—as he later put it, ""it was clear my people needed me""). They were greeted by a new and improved America that boasts microwave pancakes, twenty-four-hour dental-floss hotlines, and the staunch conviction that ice is not a luxury item.

Delivering the brilliant comic musings that are a Bryson hallmark, I'm a Stranger Here Myself recounts his sometimes disconcerting reunion with the land of his birth. The result is a book filled with hysterical scenes of one man's attempt to reacquaint himself with his own country, but it is also an extended if at times bemused love letter to the homeland he has returned to after twenty years away.",Notes on Returning to America After 20 Years Away
Qq9nQgAACAAJ,Agile Web Development with Rails,"9780976694007, 097669400X",558,"February 16, 2006",Paperback,Pragmatic Bookshelf,English,"David Thomas, David Heinemeier Hansson, Leon Breedt",,2005,,"Internet programming, Ruby (Computer program language) -- Handbooks, manuals, etc, Web site development -- Handbooks, manuals, etc, Web sites -- Authoring programs, Agile software development, Application software, Objektorienteret programmering, Programmering, Rails framework, Ruby (Computer program language), Web site development",,,,"Rails is a full-stack, open source web framework that enables you to create full-featured, sophisticated web-based applications, but with a twist... A full Rails application probably has less total code than the XML you'd need to configure the same application in other frameworks. With this book you'll learn how to use ""ActiveRecord"" to connect business objects and database tables. No more painful object-relational mapping. Just create your business objects and let Rails do the rest. You'll learn how to use the ""Action Pack"" framework to route incoming requests and render pages using easy-to-write templates and components. See how to exploit the Rails service frameworks to send emails, implement web services, and create dynamic, user-centric web-pages using built-in Javascript and Ajax ...",A Pragmatic Guide
WO_cfDHDIYYC,A Guide for Using Hatchet in the Classroom,"9781557344496, 1557344493",48,August 1994,Paperback,Teacher Created Materials,English,Donna Ickes,,August 1994,,"Children's literature -- Study and teaching (Elementary), Language arts (Elementary), Language arts -- Correlation with content subjects, Literature -- Study and teaching (Elementary), Reading (Elementary), Survival skills -- Study and teaching (Elementary), Teaching -- Aids and devices, Unit method of teaching, Wilderness survival -- Study and teaching (Elementary), Activity programs in education, Airplane crash survival -- Fiction, Children's literature -- Study and teaching (Elementary) -- Activity programs, Children's stories -- Study and teaching, Divorce -- Fiction, Fiction -- Study and teaching, Language arts (Primary), Literature -- Study and teaching (Elementary) -- Activity programs, Literature -- Study and teaching (Middle school) -- Activity programs, Reading, Reading (Elementary) -- Activity programs, Reading (Primary), Survival -- Fiction, Survival -- Study and teaching (Elementary), Wilderness survival -- Fiction",,,,"A literature unit for use with ""Hatchet,"" featuring sample lesson plans, pre- and post-reading activities, a biographical sketch of the author, a book summary, vocabulary lists and activities, chapter study guides with quizzes and projects, book report and research ideas, and options for unit tests.",
Jtj9PAAACAAJ,Molly Hatchet,"9781575606248, 1575606240",56,2003,Paperback,Cherry Lane Music Company,English,Molly Hatchet,,2003,,"Guitar music (Rock), Rock music -- 1971-1980",,,,"(Play It Like It Is). Molly Hatchet is one of the classic Southern Rock bands, along with Lynyrd Skynyrd. They feature a three-guitar attack that has helped define rockin' boogie music. This songbook features five killer tunes transcribed in notes and tab exactly as recorded: Beatin' the Odds * Bounty Hunter * Flirtin' with Disaster * Gator Country * Whiskey Man.","5 of the Best : [guitar, Vocal]."
JIVSPgAACAAJ,Hatchet Jobs,"9781595580276, 1595580271",228,2005,Paperback,New Press,English,Dale Peck,,2004,,American literature -- History and criticism -- 20th century,,,,"Since the initial publication of Hatchet Jobs, the groves of literary criticism have echoed with the clatter of steel on wood. From heated panels at Book Expo in Chicago to contretemps at writers' watering holes in New York, voices--even fists--have been raised.
Peck's bracing philippic proposes that contemporary literature is at a dead end. Novelists have forfeited a wider audience, succumbing to identity politicking and self-reflexive postmodernism. In the torrent of responses to this fulguration, opinions were not so much divided as cleaved in two with, for example, Carlin Romano contending that ""Peck's judgments are worse than nasty--they are hysterical"" and Benjamin Schwarz retorting that ""in his meticulous attention to diction, his savage wit, his exact and rollicking p...",Writings on Contemporary Fiction
TpEoAQAACAAJ,A Changeling for All Seasons,"9781595962805, 1595962808",304,November 2005,Paperback,"Changeling Press, LLC",English,"Angela Knight, Sahara Kelly, Judy Mays, Kate Douglas, Marteeka Karland, more",,November 2005,"Erotic literature, Romance novel",Erotic stories,,,,"A Changeling For All Seasons Ten unforgettable Erotic Tales to warm your nights and keep you in holiday spirits all year long! Angela Knight - A Vampire Christmas Sahara Kelly - A Christmas Pageant Judy Mays - Jingle Balls Marteeka Karland - Sealed With A Kiss Kate Douglas - My Valentine Shelby Morgen - Changeling Willa Okati - Elven Enchantment Kate Hill - Jolene's Pooka Lacey Savage - Chemistry to Burn Shelby Morgen - Troll Under The Bridge Filled with the unexpected, A Changeling For All Seasons offers something to savor for every palate. From humorous to magical, from Christmas to St. Patrick's Day to the 4th of July, these stories are alight with unbridled lust, sensuous passion, and hot, hot sex, guaranteed to entangle your senses and leave you breathless. www.ChangelingPress.com A Vacation For Your Mind -- No Passport Required.",
4jGQEAAAQBAJ,The Changeling,"9781590301944, 1590301943",352,"April 12, 2005",Paperback,Shambhala,English,Kate Horsley,,2003,"Historical Fiction, Psychological Fiction","Fiction / Historical / General, Fiction / Literary, Fiction / General, Psychological fiction, Gender identity -- Fiction, Identity (Psychology) -- Fiction, Ireland -- Fiction, Passing (Identity) -- Fiction, Sex role -- Fiction, Women -- Fiction -- Ireland",,,,"Here, the author of the acclaimed Confessions of a Pagan Nun takes us to fourteenth-century Ireland for a strange and luminous tale of the elusive nature of identity and of triumph in adversity. The Changeling is the story of Grey, a peasant girl who is raised as a boy, and who, until adolescence, never doubts herself to be male. The revelation of her womanhood marks the beginning of her journey through a succession of changing identities—including son, wife, warrior, and mother—each of which brings its own special wisdom, but none of which, she discovers, can ultimately define her. In the course of her adventurous life, Grey deals with all the challenges of her tumultuous age—from political oppression to corrupt Church hierarchy to the horrors of the Black Death—ultimately finding pe...",A Novel
