id,title,isbn,page_count,publishing_date,form,publisher,language,author,illustrator,originally_published,genres,subject,awards,nominations,characters,description,sub_title
h2Y-PgAACAAJ,Harry Potter and the Chamber of Secrets,"9780439554893, 0439554896",341,1999,Hardcover,Scholastic Press,English,J. K. Rowling,Mary GrandPré,"July 2, 1998","Novel, Fantasy Fiction, Bildungsroman, High fantasy, Adventure fiction",,Nestlé Smarties Book Prize for 9 to 11 years,Guardian Children's Fiction Prize,"Harry Potter, Hermione Granger, Dobby, Professor Albus Dumbledore, Lord Voldemort, Gilderoy Lockhart, Rubeus Hagrid, Ron Weasley, Ginny Weasley, Moaning Myrtle, Draco Malfoy, Professor Severus Snape, Minerva McGonagall, Arthur Weasley, Lucius Malfoy, Vernon Dursley, Neville Longbottom, Dudley Dursley, Sorting Hat, Molly Weasley, Percy Weasley, Petunia Evans Dursley, Argus Filch, Mrs. Norris, Lily Potter, Charlie Weasley, James Potter, Nearly Headless Nick, Cornelius Fudge, Bill Weasley, Peeves, Fred Weasley, Colin Creevey, Pomona Sprout, George Weasley, Armando Dippet, Poppy Pomfrey, Professor Filius Flitwick, Justin Finch-Fletchley, The Bloody Baron, Vincent Crabbe, Ernie Macmillan, Oliver Wood, Lavender Brown, Dean Thomas, Seamus Finnigan, Katie Bell, Hannah Abbott, Susan Bones, Rolanda Hooch","When the Chamber of Secrets is opened again at the Hogwarts School for Witchcraft and Wizardry, second-year student Harry Potter finds himself in danger from a dark power that has once more been released on the school.",
FBXRzgEACAAJ,Harry Potter and the Prisoner of Azkaban,"9780439655484, 043965548X",560,May 2004,Trade paperback,Arthur A. Levine Books,English,J. K. Rowling,Mary GrandPré,"July 8, 1999","Novel, Fantasy Fiction, Adventure fiction, Contemporary fantasy",,"Locus Award for Best Fantasy Novel, Nestlé Smarties Book Prize for 9 to 11 years","Carnegie Medal for Writing, Hugo Award for Best Novel, Locus Award for Best Fantasy Novel, Guardian Children's Fiction Prize, Mythopoeic Fantasy Award for Children's Literature","Harry Potter, Hermione Granger, Sirius Black, more","The third book in J.K. Rowling's bestselling series comes to the silver screen in a Warner Bros. feature opening June 4, 2004. Emma Thompson, Gary Oldman, and Michael Gambon join the cast for this installment, which is directed by Alfonso Cuaron (""Y Tu Mama Tambien"").",
DAAAAAAACAAJ,Harry Potter,"9780439682589, 0439682584","2,000",October 2004,Trade paperback,Scholastic (Us),English,J. K. Rowling,,,,,,,,,"5 Years of Magic, Adventure, and Mystery at Hogwarts"
LH5C9q83T6wC,7,"9780976540601, 0976540606",152,2005,Paperback,Nimble Books LLC,English,W. Frederick Zimmerman,,December 2005,,"Children's stories, English, Fantasy fiction, English, Fiction / Fantasy / General, Magic in literature, Wizards in literature",,,,"Through the magic of print-on-demand technology, this ""nimble"" guide to the work of best-selling author J. K. Rowling provides the latest news about the author and her works, updated whenever there are significant developments. Unlike a conventional book, for which editions are printed in quantity every couple of years, this ""living book"" goes through frequent ""mini-editions"" and is printed fresh whenever customers place an order. Purchasers are entitled to free PDF updates! An entirely new section of analysis with more than 75 new pages will be added shortly after the release of ""Harry Potter and the Half-Blood Prince"" on July 16, 2005.","Unauthorized Harry Potter Book Seven News ; ""Half-blood Prince"" Analysis and Speculation"
62CEzQEACAAJ,Harry Potter and the Prisoner of Azkaban,,435,1999,,Arthur A. Levine Books,English,J. K. Rowling,Mary GrandPré,"July 8, 1999","Novel, Fantasy Fiction, Adventure fiction, Contemporary fantasy",,"Locus Award for Best Fantasy Novel, Nestlé Smarties Book Prize for 9 to 11 years","Carnegie Medal for Writing, Hugo Award for Best Novel, Locus Award for Best Fantasy Novel, Guardian Children's Fiction Prize, Mythopoeic Fantasy Award for Children's Literature","Harry Potter, Hermione Granger, Sirius Black, more","""During his third year at Hogwarts School for Witchcraft and Wizardry, Harry Potter must confront the devious and dangerous wizard responsible for his parents' deaths""--Title page verso.",
joXgAAAAMAAJ,The Ultimate Hitchhiker's Guide,"9780517226957, 0517226952",815,"November 1, 2005",Hardcover,Gramercy Books,English,Douglas Adams,,"January 17, 1996","Science fiction, Humor","Dent, Arthur (Fictitious character) -- Fiction, Humorous stories, English, Prefect, Ford (Fictitious character) -- Fiction, Science fiction, English, Humorous stories, Science fiction",,,,"This outrageous volume contains six zany, out-of-this-world adventure stories by this incomparable novelist. From the very first to the very latest-- all best sellers-- includes The Hitchhiker's Guide to the Galaxy; The Restaurant at the End of the Universe; Life, the Universe and Everything, So Long and Thanks for all the Fish; Young Zaphod Plays it Safe; and Mostly Harmless. 768 pages.",Five Complete Novels and One Story
4m0Qj9xKksYC,The Ultimate Hitchhiker's Guide to the Galaxy,"9780345453747, 0345453743",815,"April 30, 2002",Trade paperback,Random House Worlds,English,Douglas Adams,,"January 17, 1996","Science fiction, Humor","Fiction / Humorous / General, Fiction / Science Fiction / Action & Adventure, Fiction / Science Fiction / Space Opera, Dent, Arthur (Fictitious character) -- Fiction, Humorous stories, Humorous stories, English, Interplanetary voyages -- Fiction, Interstellar travel -- Fiction, Prefect, Ford (Fictitious character) -- Fiction, Science fiction, Science fiction, English",,,,"In one complete volume, here are the five classic novels from Douglas Adams’s beloved Hitchhiker series.

Now celebrating the pivotal 42nd anniversary of The Hitchhiker’s Guide to the Galaxy, soon to be a Hulu original series!

The Hitchhiker’s Guide to the Galaxy (Nominated as one of America’s best-loved novels by PBS’s The Great American Read)
Seconds before the Earth is demolished for a galactic freeway, Arthur Dent is saved by Ford Prefect, a researcher for the revised Guide. Together they stick out their thumbs to the stars and begin a wild journey through time and space.

The Restaurant at the End of the Universe
The moment before annihilation at the hands of warmongers is a curious time to crave tea. It could only happen to the co...",
yyxXzQEACAAJ,The Hitchhiker's Guide to the Galaxy,"9781563892714, 1563892715",133,1979,,Ballantine Books,English,Douglas Adams,Steve Leialoha,,"Comics, Graphic novel","Humorous stories, Science fiction comic books, strips, etc",,,,,The Authorized Collection
oL1lAAAAMAAJ,The Ultimate Hitchhiker's Guide,"9780517149256, 0517149257",815,1996,Hardcover,Wings Books,English,Douglas Adams,,"January 17, 1996","Science fiction, Humor","Dent, Arthur (Fictitious character) -- Fiction, Humorous stories, Humorous stories, English, Interplanetary voyages -- Fiction, Interstellar travel -- Fiction, Prefect, Ford (Fictitious character) -- Fiction, Science fiction, Science fiction, English, Dent, Arthur (Fictitious character) -- Fiction. Humorous stories, English. Science fiction, English",,,,"This outrageous volume contains six zany, out-of-this-world adventure stories by this incomparable novelist. From the very first to the very latest—all best sellers—includesThe Hitchhiker's Guide to the Galaxy; The Restaurant at the End of the Universe; Life, the Universe and Everything, So Long and Thanks for all the Fish; Young Zaphod Plays it Safe;andMostly Harmless. 768 pages.",
YjAnfhsAQ8wC,A Short History of Nearly Everything,"9780767908184, 076790818X",544,"September 14, 2004",Paperback,Crown,English,Bill Bryson,,"February 4, 2003","Non-fiction, Popular science","History / World, Science / Essays, Science / Natural History, Science, Science -- Popular works, Large type books, Popular works",,Baillie Gifford Prize,,"One of the world’s most beloved writers and New York Times bestselling author of A Walk in the Woods and The Body takes his ultimate journey—into the most intriguing and intractable questions that science seeks to answer.

In A Walk in the Woods, Bill Bryson trekked the Appalachian Trail—well, most of it. In A Sunburned Country, he confronted some of the most lethal wildlife Australia has to offer. Now, in his biggest book, he confronts his greatest challenge: to understand—and, if possible, answer—the oldest, biggest questions we have posed about the universe and ourselves. Taking as territory everything from the Big Bang to the rise of civilization, Bryson seeks to understand how we got from there being nothing at all to there being us. To that end, he has attached himsel...",
