isbn,Main Category,Categories,Description
439785960,,,
439358078,,,
439554896,,,
043965548X,,Juvenile Fiction,"During his third year at Hogwarts School for Witchcraft and Wizardry, Harry Potter must confront the devious and dangerous wizard responsible for his parents' deaths."
439682584,,,
976540606,,,
439827604,,,
517226952,,,
345453743,,,
1400052920,,,
739322206,,,
517149257,,,
076790818X,,,
767915062,,,
767910435,,,
767903862,,,
076790382X,,,
60920084,,,
380713802,,,
380727501,,,
380715430,,,
345538374,,,
618517650,,,
618346252,,,
618260587,,,
618391002,,,
618510826,,,
097669400X,,,
689840926,,,
1557344493,,,
385326505,,,
1575606240,,,
1595580271,,,
1595962808,,Fiction,"A Changeling For All Seasons Ten unforgettable Erotic Tales to warm your nights and keep you in holiday spirits all year long! Angela Knight - A Vampire Christmas Sahara Kelly - A Christmas Pageant Judy Mays - Jingle Balls Marteeka Karland - Sealed With A Kiss Kate Douglas - My Valentine Shelby Morgen - Changeling Willa Okati - Elven Enchantment Kate Hill - Jolene's Pooka Lacey Savage - Chemistry to Burn Shelby Morgen - Troll Under The Bridge Filled with the unexpected, A Changeling For All Seasons offers something to savor for every palate. From humorous to magical, from Christmas to St. Patrick's Day to the 4th of July, these stories are alight with unbridled lust, sensuous passion, and hot, hot sex, guaranteed to entangle your senses and leave you breathless. www.ChangelingPress.com A Vacation For Your Mind -- No Passport Required."
670059676,,,
141312629,,,
595321801,,,
1590301943,,,
449146979,,,
61159174,,,
006076273X,,,
60749911,,,
273704745,,,
1932386106,,,
374517193,,,
374280398,,,
374519749,,,
374522596,,,
374518734,,,
374522871,,,
374519323,,,
374516006,,,
374520658,,,
822205106,,,
679734996,,,
1596670231,,Education,"Presents cross-curricular teaching strategies for K-12 teachers to help students develop effective listening, speaking, writing, and reading skills."
1581807740,,,
800793617,,,
871202867,,,
753454947,,,
871209993,,,
1852402873,,,
761129588,,,
972016414,,,
1581805632,,,
441294677,,,
441102670,,,
441172695,,,
765306476,,,
399128980,,,
765353709,,,
441328008,,,
618212906,,,
034541005X,,,
385732546,,,
785260056,,,
471780936,,,
325001537,,,
006076287X,,,
470045299,,,
72262788,,,
764569244,,,
471933821,,,
764559915,,,
764584383,,,
596523696,,,
806523492,,,
806525363,,,
596527314,,,
143035002,,,
451528611,,,
140449175,,,
822001837,,,
1593080271,,,
486437965,,,
1593081774,,Adultery,"""Married to a powerful government minister, Anna Karenina is a beautiful woman who falls deeply in love with a wealthy army officer, the elegant Count Vronsky. Desperate to find truth and meaning in her life, she rashly defies the conventions of Russian society and leaves her husband and son to live with her lover. Condenmed and ostracized by her peers and prone to fits of jealousy, that alienate Vronsky, Anna finds herself unable to escape an increasingly hopeless situation."" -- Dust jacket."
778322270,,,
521313252,,,
140183957,,,
679767479,,,
1568491980,,Crime,
743270797,,,
932863051,,,
742508803,,,
205358624,,,
1557344035,,,
380720442,,,
821925326,,,
043927169X,,,
606105263,,,
751506435,,,
